Instance,JOB_NAME,JOB_TYPE,AS_GROUP,AS_APPLIC,MACH_NAME,RUN_MACHINE,STATUS_TIMESTAMP,JOB_STATUS
PG3,IHUBZ_WHLPDB_BRDRDG_C0002_DATE_VALIDATION,CMD,IHUB,IHUB,EDA_LB_eappzzprdntl1.aoe.virtual.net,wppra07a0337.wellsfargo.com,5/6/26 23:52,SUCCESS
PG3,C2TIS_PG3PDC_ISBPzz_PN000_C2T_wfr_pmt_C,CMD,,C2TIS,EDA_LB_arbz03prdntl1.aoe.virtual.net,epvra02a0028.wellsfargo.com,5/6/26 23:52,SUCCESS
PG3,EDAMH_256PDC_FIRSTz_C2301_WEDNESDAY_TERADATA,CMD,EDA-Metada,EDAMH,EDA_LB_1aoecbprdunx.virtual.net,cppra05a0256.wellsfargo.com,5/6/26 23:52,SUCCESS
PG3,IHUBZ_WHLPDB_BRDRDG_C0001_FILE_WATCHER,CMD,IHUB,IHUB,EDA_LB_eappzzprdntl1.aoe.virtual.net,wppra07a0337.wellsfargo.com,5/6/26 23:52,SUCCESS
PG3,C2TIS_PG3PDC_ISBPzz_FV000_C2T_wfr_pmt_C,CMD,,C2TIS,EDA_LB_arbz02prdndm1.aoe.virtual.net,epvra02a0003.wellsfargo.com,5/6/26 23:52,SUCCESS
PG3,1CTEZ_156PDC_MFXMBR_S0001_SHB,CMD,DWAT4,1CTE,EDA_LB_1aoecbprdntl3.virtual.net,cppra76a0156.wellsfargo.com,5/6/26 23:51,SUCCESS
PG3,C2TIS_PG3PDC_ISBPzz_FW000_C2T_wfr_pmt_C,FW,,C2TIS,EDA_LB_arbz02prdndm1.aoe.virtual.net,epvra02a0003.wellsfargo.com,5/6/26 23:51,SUCCESS
PG3,HEMIZ_PG3PDC_TRAITS_C0020_UIK_S2P,CMD,,HEMI,EDA_LB_arbz03prdntl1.aoe.virtual.net,epvra02a0026.wellsfargo.com,5/6/26 23:51,SUCCESS
PG3,1CTEZ_156PDC_MFXMBR_S0101_SHB,CMD,DWAT4,1CTE,EDA_LB_1aoecbprdntl4.virtual.net,cppra76a0156.wellsfargo.com,5/6/26 23:51,SUCCESS
PG3,1MIDZ_PG3PDB_MAINzz_B0001_MID,BOX,SLA-WF377,1MID,,,5/6/26 23:50,SUCCESS
PG3,1MIDZ_PG3PDB_MAINzz_E0002_MID_CRLOOP,CMD,SLA-WF377,1MID,EDA_LB_arbz04prdntl1.aoe.virtual.net,epvra02a0041.wellsfargo.com,5/6/26 23:50,SUCCESS
PG3,C2TIS_PG3PDC_ISBPzz_C0008_C2T_set_date_C,CMD,,C2TIS,EDA_LB_01prdntl1.aoe.virtual.net,epvra02g0012.wellsfargo.com,5/6/26 23:50,SUCCESS
PG3,1MIDZ_PG3PDB_CRFEIL_C0003_MID_LOANPD,CMD,SLA-WF377,1MID,EDA_LB_arbz02prdntl1.aoe.virtual.net,epvra02a0024.wellsfargo.com,5/6/26 23:50,SUCCESS
PG3,EIWZZ_DBAPDB_UTILS_MB001,BOX,TDDBA,EIW,,,5/6/26 23:50,SUCCESS
PG3,EIWZZ_DBAPDB_UTILST_C0001,CMD,TDDBA,EIW,TDINF_LB_dbamgmt.virtual.net,covra99a0928.wellsfargo.com,5/6/26 23:50,SUCCESS
