Instance,JOB_NAME,JOB_TYPE,AS_GROUP,AS_APPLIC,MACH_NAME,RUN_MACHINE,STATUS_TIMESTAMP,JOB_STATUS
PA3,1ISPZ_PA3PDC_LOADIN_C0002_ISP_GMI_BUILD_POSITION_HIST,CMD,,1ISP,EDA_LB_mrbz01prdctl1.aoe.virtual.net,epvra01a0024.wellsfargo.net,5/6/26 23:57,SUCCESS
PA3,1ISPZ_PA3PAB_LOADIN_C0082_ISP_IMPACT_YAPDWNE,CMD,,1ISP,,epvra01a0010.wellsfargo.net,5/6/26 23:57,SUCCESS
PA3,1MBDA_PA3PDB_CIBCAP_M8001_BOX,BOX,MBDA,1MBDA,,,5/6/26 23:56,SUCCESS
PA3,1MBDA_PA3PDC_TRCAPZ_C0002_BRKGTRDINFO_INSTANCE_STARTER,CMD,MBDA,1MBDA,EDA_LB_mrbz01prdctl1.aoe.virtual.net,epvra01a0029.wellsfargo.net,5/6/26 23:56,SUCCESS
PA3,1ISPZ_PA3PAC_UTILITY_C0011_ISP_BRGL_RECON_POS,CMD,,1ISP,,epvra01a0012.wellsfargo.net,5/6/26 23:56,SUCCESS
PA3,1ISPZ_PA3PAB_LOADIN_C0082_ISP_IMPACT_YAPDWNE_ORA,CMD,,1ISP,,epvra01a0011.wellsfargo.net,5/6/26 23:56,SUCCESS
PA3,CIMADS_PA3PDC_CIMADS_CNFLY_TSEE_CUSTOMER_C_STDPC_CMD,CMD,,CIMADS,,epvra01a0015.wellsfargo.net,5/6/26 23:56,SUCCESS
PA3,1CCPB_PA3PDC_EODzzz_C0000_GMI_OTC_PFE_HP,CMD,,1CCB,,epvra01a0013.wellsfargo.net,5/6/26 23:55,SUCCESS
PA3,AFTAP_PA3PDC_BLMBRG_C1014_MTGE_CMO_NAMR_SPRKINGEST,CMD,AFTAP,AFTAP,EDA_LB_mrbz01prdctl1.aoe.virtual.net,epvra01a0020.wellsfargo.net,5/6/26 23:55,SUCCESS
PA3,AFTAP_PA3PDC_BSLSTG_C1001_BB_FIXD_INC_ASIA_LOAD_CONF,CMD,AFTAP,AFTAP,EDA_LB_mrbz02prdunx.1aoe.virtual.net,epvra01a0018.wellsfargo.net,5/6/26 23:55,SUCCESS
PA3,1MBDA_PA3PDC_2SFDDS_2SFDDS_2SFD_PRODUCT_CONFORMANCE_CNF,CMD,MBDA,1MBDA,EDA_LB_mrbz02prdctl1.aoe.virtual.net,epvra01a0016.wellsfargo.net,5/6/26 23:55,SUCCESS
PA3,AFTAP_PA3PDC_BLMBRG_C1006_MTGE_SBA_NAMR_SPRKINGEST,CMD,AFTAP,AFTAP,EDA_LB_mrbz01prdctl1.aoe.virtual.net,epvra01a0014.wellsfargo.net,5/6/26 23:55,SUCCESS
PA3,1ISPZ_PA3PDC_LOADIN_C0039_ISP_BRGL_SNAP_TOORA_POS,CMD,,1ISP,,epvra01a0014.wellsfargo.net,5/6/26 23:55,SUCCESS
PA3,AFTAP_PA3PDC_BLMBRG_C1003_MUNI_NAMR_MOODY_SPRKINGEST,CMD,AFTAP,AFTAP,EDA_LB_mrbz03prdunx.1aoe.virtual.net,epvra01a0026.wellsfargo.net,5/6/26 23:55,SUCCESS
PA3,AFTAP_PA3PDC_BLMBRG_C1008_MTGE_GENERIC_NAMR_SPRKINGEST,CMD,AFTAP,AFTAP,EDA_LB_mrbz03prdndm.1aoe.virtual.net,epvra01a0027.wellsfargo.net,5/6/26 23:55,SUCCESS
PA3,STSDM_PA3PDC_CEzzzz_N0006_STS_NPM_ATM_PRODUCT_TRAN,CMD,,STSDM,EDA_LB_mrbz03prdctl1.aoe.virtual.net,epvra01a0003.wellsfargo.net,5/6/26 23:55,SUCCESS
PA3,1ISPZ_PA3PDF_UTILITY_F0054_ISP_IMPACT_ITDDWNE_WAIT,FW,,1ISP,EDA_LB_mrbz02prdunx.1aoe.virtual.net,epvra01a0021.wellsfargo.net,5/6/26 23:55,SUCCESS
