"APPLICATION_NAME","APPLICATION_ID","ENVIRONMENT","DEVICE_LVL1_NAME","DEVICE_LVL1_TYPE","DEVICE_LVL2_NAME","DEVICE_LVL2_TYPE","DEVICE_LVL3_NAME","DEVICE_LVL3_TYPE","DEVICE_LVL4_NAME","DEVICE_LVL4_TYPE","DEVICE_NAME","DEVICE_TYPE","DATA_CENTER"
"POST-CLAIMS ANALYSIS","PCA","DISASTER RECOVERY/BCP","P01CAMSP@B66200103@DANPXB6620DB03--5382632","CMDB_CI_DB_ORA_CATALOG","B66200104@DANPXB6620DB04--5351749","CMDB_CI_DB_ORA_INSTANCE","DANPXB6620DB04","CMDB_CI_LINUX_SERVER","","","DANPXB6620DB04","CMDB_CI_LINUX_SERVER","DC BIRMINGHAM IBB1"
"ENTERPRISE SANDBOX INVENTORY MANAGEMENT SYSTEM","DUMPS","PRODUCTION","SSISDB@PV0549A1@DWPV0549VA--11204938","CMDB_CI_DB_MSSQL_DATABASE","PV0549A1@DWPV0549VA--10626527","CMDB_CI_DB_MSSQL_INSTANCE","DWPV0549VA","CMDB_CI_WIN_SERVER","","","DWPV0549VA","CMDB_CI_WIN_SERVER","DC SHOREVIEW"
