id,app_id,app_full_name,metric_id,metric_name,metric_path,frequency,start_time_ms,occurences,current_value,min_value,max_value,value,sum_value,count_value,bucket_start,load_date,fetched_at,unnamed_or_timestamp
16,1AUTHB,1AUTHB_WIMAuthenticationHub,149459746,BTM|Application Summary|Component:25088|Calls per Minute,Overall Application Performance|STR06P-PROD-1authb-utility-api|Individual Nodes|STR06P-PROD-1authb-utility-api-7|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,56.0,23.0,74.0,42.0,1222.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:18
17,1AUTHB,1AUTHB_WIMAuthenticationHub,149459168,BTM|Application Summary|Component:25086|Calls per Minute,Overall Application Performance|MAN06P-PROD-1authb-config-api|Individual Nodes|MAN06P-PROD-1authb-config-api-2|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,19.0,8.0,35.0,19.0,563.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:18
18,1AUTHB,1AUTHB_WIMAuthenticationHub,149459746,BTM|Application Summary|Component:25088|Calls per Minute,Overall Application Performance|STR06P-PROD-1authb-utility-api|Individual Nodes|STR06P-PROD-1authb-utility-api-6|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,38.0,20.0,59.0,34.0,994.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:18
19,1AUTHB,1AUTHB_WIMAuthenticationHub,149459133,BTM|Application Summary|Component:25085|Calls per Minute,Overall Application Performance|STR06P-PROD-1authb-config-api|Individual Nodes|STR06P-PROD-1authb-config-api-3|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,32.0,13.0,47.0,28.0,826.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:18
20,1AUTHB,1AUTHB_WIMAuthenticationHub,149458710,BTM|Application Summary|Component:25081|Calls per Minute,Overall Application Performance|GARD6P-PROD-1authb-client-authentication-api|Individual Nodes|GARD6P-PROD-1authb-client-authentication-api-5|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,19.0,16.0,39.0,25.0,730.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:18
21,1AUTHB,1AUTHB_WIMAuthenticationHub,149458710,BTM|Application Summary|Component:25081|Calls per Minute,Overall Application Performance|GARD6P-PROD-1authb-client-authentication-api|Individual Nodes|GARD6P-PROD-1authb-client-authentication-api-3|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,13.0,8.0,32.0,17.0,498.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:18
22,1AUTHB,1AUTHB_WIMAuthenticationHub,149459195,BTM|Application Summary|Component:25084|Calls per Minute,Overall Application Performance|LEW06P-PROD-1authb-config-api|Individual Nodes|LEW06P-PROD-1authb-config-api-5|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,22.0,10.0,34.0,20.0,577.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:18
23,1AUTHB,1AUTHB_WIMAuthenticationHub,149459151,BTM|Application Summary|Component:25087|Calls per Minute,Overall Application Performance|GARD6P-PROD-1authb-config-api|Individual Nodes|GARD6P-PROD-1authb-config-api-3|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,28.0,16.0,43.0,30.0,874.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:18
24,1AUTHB,1AUTHB_WIMAuthenticationHub,149459133,BTM|Application Summary|Component:25085|Calls per Minute,Overall Application Performance|STR06P-PROD-1authb-config-api|Individual Nodes|STR06P-PROD-1authb-config-api-5|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,21.0,11.0,33.0,19.0,557.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:18
25,1AUTHB,1AUTHB_WIMAuthenticationHub,149459746,BTM|Application Summary|Component:25088|Calls per Minute,Overall Application Performance|STR06P-PROD-1authb-utility-api|Individual Nodes|STR06P-PROD-1authb-utility-api-3|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,64.0,24.0,70.0,48.0,1378.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:18
