id,app_id,ts_id,wf_dc,sf_service,wf_acln,total_value,sample_count,avg_value,bucket_start,duration_mins,load_date,fetched_at
35,BBSOA,AAAA0mDFVM,TPE,BBSOA_dnb,BBSOA-A7KMU7,2,2,1.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
36,BBSOA,AAAAPgBY-4,SHV,BBSOA_rest,BBSOA-AYNBM1,2,2,1.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
37,BBSOA,AAAA0jtpQOI,SHV,BBSOA_soaengine,BBSOA-AVO7VB,64,25,2.56,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
38,BBSOA,AAAAAIpCTR8,SHV,BBSOA_soaengine,BBSOA-AVO7VB,3,3,1.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
39,BBSOA,AAAAOdoyU,SHV,BBSOA_scheduler,BBSOA-AFSROQ,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
40,BBSOA,AAAAAk1SgXo,SHV,BBSOA_password,BBSOA-A4LI3H,29,17,1.705882353,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
41,BBSOA,AAAAACgBDjU,TPE,BBSOA_printserver,BBSOA-AI4VHE,3,2,1.5,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
42,BBSOA,AAAAAqVyYYy,SHV,BBSOA_storedproc,BBSOA-A97K98,34,21,1.619047619,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
43,BBSOA,AAAAAK1SgXo,SHV,BBSOA_pricing,BBSOA-A1MFCR,10,9,1.111111111,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
44,BBSOA,AAAAAPSLVis,TPE,BBSOA_storedproc,BBSOA-A97K98,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
45,BBSOA,AAAAAZvvfy8,SHV,BBSOA_ecpr,BBSOA-A4LI3H,9,6,1.5,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
46,BBSOA,AAAAOTKZvo,SHV,BBSOA_soaenginedoc,BBSOA-AC6NZY,3,2,1.5,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
47,BBSOA,AAAAZLHdmE,SHV,BBSOA_atbweb,BBSOA-AU1AGA,42,19,2.210526316,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
